Year,Series,Value
2009,Growth rates of household expenditure or income per capita (%) by TIME PERIOD,25.6
2010,Growth rates of household expenditure or income per capita (%) by TIME PERIOD,-4.7
2011,Growth rates of household expenditure or income per capita (%) by TIME PERIOD,-4.7
2017,Growth rates of household expenditure or income per capita (%) by TIME PERIOD,-8.59
