Year,Value
2005,9.0
2006,11.4
2007,8.9
2008,10.1
2009,10.0
2010,9.0
2011,8.3
2012,8.1
2013,7.6
2014,7.8
2015,7.4
2016,7.6
2017,7.0
2018,7.4
2019,7.3
