Year,SEX,AREA,Value
2000,Male,Jenin,18.4
2001,Male,Jenin,40.9
2002,Male,Jenin,48.2
2003,Male,Jenin,39.0
2004,Male,Jenin,30.7
2005,Male,Jenin,25.7
2006,Male,Jenin,23.5
2007,Male,Jenin,20.3
2008,Male,Jenin,24.6
2009,Male,Jenin,18.6
2010,Male,Jenin,15.4
2011,Male,Jenin,12.3
2012,Male,Jenin,12.9
2013,Male,Jenin,15.1
2014,Male,Jenin,12.1
2015,Male,Jenin,13.7
2016,Male,Jenin,15.5
2017,Male,Jenin,13.7
2018,Male,Jenin,16.8
2000,Male,Tubas & Northern Valleys,16.3
2001,Male,Tubas & Northern Valleys,33.6
2002,Male,Tubas & Northern Valleys,41.8
2003,Male,Tubas & Northern Valleys,27.0
2004,Male,Tubas & Northern Valleys,22.9
2005,Male,Tubas & Northern Valleys,18.3
2006,Male,Tubas & Northern Valleys,17.5
2007,Male,Tubas & Northern Valleys,20.3
2008,Male,Tubas & Northern Valleys,16.7
2009,Male,Tubas & Northern Valleys,11.3
2010,Male,Tubas & Northern Valleys,11.4
2011,Male,Tubas & Northern Valleys,14.0
2012,Male,Tubas & Northern Valleys,13.7
2013,Male,Tubas & Northern Valleys,14.2
2014,Male,Tubas & Northern Valleys,11.4
2015,Male,Tubas & Northern Valleys,15.5
2016,Male,Tubas & Northern Valleys,15.4
2017,Male,Tubas & Northern Valleys,17.6
2018,Male,Tubas & Northern Valleys,13.9
2000,Male,Tulkarm,17.3
2001,Male,Tulkarm,22.3
2002,Male,Tulkarm,25.9
2003,Male,Tulkarm,26.9
2004,Male,Tulkarm,22.8
2005,Male,Tulkarm,21.4
2006,Male,Tulkarm,21.6
2007,Male,Tulkarm,19.4
2008,Male,Tulkarm,19.6
2009,Male,Tulkarm,18.4
2010,Male,Tulkarm,19.9
2011,Male,Tulkarm,20.5
2012,Male,Tulkarm,25.9
2013,Male,Tulkarm,17.8
2014,Male,Tulkarm,10.8
2015,Male,Tulkarm,13.3
2016,Male,Tulkarm,12.7
2017,Male,Tulkarm,13.2
2018,Male,Tulkarm,14.7
2000,Male,Nablus,10.2
2001,Male,Nablus,23.0
2002,Male,Nablus,30.7
2003,Male,Nablus,25.9
2004,Male,Nablus,20.0
2005,Male,Nablus,16.8
2006,Male,Nablus,16.9
2007,Male,Nablus,15.4
2008,Male,Nablus,15.0
2009,Male,Nablus,12.9
2010,Male,Nablus,13.8
2011,Male,Nablus,11.8
2012,Male,Nablus,10.6
2013,Male,Nablus,12.1
2014,Male,Nablus,14.0
2015,Male,Nablus,12.8
2016,Male,Nablus,11.9
2017,Male,Nablus,16.1
2018,Male,Nablus,13.4
2000,Male,Qalqiliya,18.2
2001,Male,Qalqiliya,36.7
2002,Male,Qalqiliya,30.8
2003,Male,Qalqiliya,27.1
2004,Male,Qalqiliya,24.2
2005,Male,Qalqiliya,21.2
2006,Male,Qalqiliya,16.1
2007,Male,Qalqiliya,16.9
2008,Male,Qalqiliya,22.6
2009,Male,Qalqiliya,20.2
2010,Male,Qalqiliya,18.5
2011,Male,Qalqiliya,20.0
2012,Male,Qalqiliya,20.1
2013,Male,Qalqiliya,14.6
2014,Male,Qalqiliya,10.9
2015,Male,Qalqiliya,10.9
2016,Male,Qalqiliya,10.1
2017,Male,Qalqiliya,7.2
2018,Male,Qalqiliya,2.8
2000,Male,Salfit,18.8
2001,Male,Salfit,47.0
2002,Male,Salfit,34.4
2003,Male,Salfit,27.3
2004,Male,Salfit,21.7
2005,Male,Salfit,22.1
2006,Male,Salfit,18.2
2007,Male,Salfit,18.2
2008,Male,Salfit,19.5
2009,Male,Salfit,14.0
2010,Male,Salfit,12.7
2011,Male,Salfit,13.7
2012,Male,Salfit,13.5
2013,Male,Salfit,17.4
2014,Male,Salfit,13.8
2015,Male,Salfit,11.9
2016,Male,Salfit,13.9
2017,Male,Salfit,14.6
2018,Male,Salfit,17.6
2000,Male,Ramallah & Al-Bireh,9.9
2001,Male,Ramallah & Al-Bireh,28.4
2002,Male,Ramallah & Al-Bireh,28.1
2003,Male,Ramallah & Al-Bireh,21.8
2004,Male,Ramallah & Al-Bireh,20.8
2005,Male,Ramallah & Al-Bireh,16.2
2006,Male,Ramallah & Al-Bireh,15.4
2007,Male,Ramallah & Al-Bireh,15.7
2008,Male,Ramallah & Al-Bireh,17.8
2009,Male,Ramallah & Al-Bireh,17.3
2010,Male,Ramallah & Al-Bireh,15.3
2011,Male,Ramallah & Al-Bireh,15.5
2012,Male,Ramallah & Al-Bireh,16.5
2013,Male,Ramallah & Al-Bireh,16.6
2014,Male,Ramallah & Al-Bireh,12.8
2015,Male,Ramallah & Al-Bireh,17.5
2016,Male,Ramallah & Al-Bireh,14.7
2017,Male,Ramallah & Al-Bireh,15.5
2018,Male,Ramallah & Al-Bireh,14.4
2000,Male,Jericho & AL Aghwar,7.9
2001,Male,Jericho & AL Aghwar,12.8
2002,Male,Jericho & AL Aghwar,11.6
2003,Male,Jericho & AL Aghwar,9.2
2004,Male,Jericho & AL Aghwar,12.3
2005,Male,Jericho & AL Aghwar,13.0
2006,Male,Jericho & AL Aghwar,14.9
2007,Male,Jericho & AL Aghwar,7.8
2008,Male,Jericho & AL Aghwar,10.0
2009,Male,Jericho & AL Aghwar,8.6
2010,Male,Jericho & AL Aghwar,13.2
2011,Male,Jericho & AL Aghwar,11.9
2012,Male,Jericho & AL Aghwar,15.5
2013,Male,Jericho & AL Aghwar,14.9
2014,Male,Jericho & AL Aghwar,16.4
2015,Male,Jericho & AL Aghwar,12.4
2016,Male,Jericho & AL Aghwar,9.5
2017,Male,Jericho & AL Aghwar,12.3
2018,Male,Jericho & AL Aghwar,15.8
2000,Male,Jerusalem,12.4
2001,Male,Jerusalem,17.2
2002,Male,Jerusalem,31.0
2003,Male,Jerusalem,24.3
2004,Male,Jerusalem,25.1
2005,Male,Jerusalem,18.3
2006,Male,Jerusalem,14.8
2007,Male,Jerusalem,15.4
2008,Male,Jerusalem,12.2
2009,Male,Jerusalem,11.3
2010,Male,Jerusalem,11.3
2011,Male,Jerusalem,11.9
2012,Male,Jerusalem,17.3
2013,Male,Jerusalem,18.1
2014,Male,Jerusalem,16.8
2015,Male,Jerusalem,12.2
2016,Male,Jerusalem,15.6
2017,Male,Jerusalem,10.8
2018,Male,Jerusalem,9.1
2000,Male,Bethlehem,10.4
2001,Male,Bethlehem,12.1
2002,Male,Bethlehem,22.7
2003,Male,Bethlehem,19.8
2004,Male,Bethlehem,23.2
2005,Male,Bethlehem,14.2
2006,Male,Bethlehem,13.8
2007,Male,Bethlehem,18.8
2008,Male,Bethlehem,23.0
2009,Male,Bethlehem,20.4
2010,Male,Bethlehem,20.2
2011,Male,Bethlehem,18.3
2012,Male,Bethlehem,20.2
2013,Male,Bethlehem,20.3
2014,Male,Bethlehem,17.7
2015,Male,Bethlehem,11.3
2016,Male,Bethlehem,17.9
2017,Male,Bethlehem,17.1
2018,Male,Bethlehem,17.8
2000,Male,Hebron,10.5
2001,Male,Hebron,17.0
2002,Male,Hebron,28.7
2003,Male,Hebron,23.3
2004,Male,Hebron,27.6
2005,Male,Hebron,27.9
2006,Male,Hebron,24.9
2007,Male,Hebron,23.9
2008,Male,Hebron,28.1
2009,Male,Hebron,23.2
2010,Male,Hebron,21.3
2011,Male,Hebron,19.7
2012,Male,Hebron,20.4
2013,Male,Hebron,21.6
2014,Male,Hebron,18.6
2015,Male,Hebron,18.1
2016,Male,Hebron,18.3
2017,Male,Hebron,19.0
2018,Male,Hebron,17.1
2000,Male,North Gaza,17.0
2001,Male,North Gaza,36.4
2002,Male,North Gaza,38.6
2003,Male,North Gaza,27.7
2004,Male,North Gaza,37.5
2005,Male,North Gaza,33.9
2006,Male,North Gaza,39.7
2007,Male,North Gaza,31.8
2008,Male,North Gaza,40.4
2009,Male,North Gaza,35.6
2010,Male,North Gaza,34.7
2011,Male,North Gaza,25.6
2012,Male,North Gaza,29.6
2013,Male,North Gaza,29.0
2014,Male,North Gaza,39.6
2015,Male,North Gaza,37.5
2016,Male,North Gaza,37.8
2017,Male,North Gaza,34.9
2018,Male,North Gaza,39.4
2000,Male,Gaza,17.1
2001,Male,Gaza,33.7
2002,Male,Gaza,36.6
2003,Male,Gaza,27.3
2004,Male,Gaza,32.9
2005,Male,Gaza,25.5
2006,Male,Gaza,33.2
2007,Male,Gaza,23.7
2008,Male,Gaza,37.2
2009,Male,Gaza,33.6
2010,Male,Gaza,33.5
2011,Male,Gaza,24.3
2012,Male,Gaza,23.7
2013,Male,Gaza,24.7
2014,Male,Gaza,35.4
2015,Male,Gaza,30.9
2016,Male,Gaza,28.0
2017,Male,Gaza,32.2
2018,Male,Gaza,40.5
2000,Male,Dier Al-Balah,21.8
2001,Male,Dier Al-Balah,34.4
2002,Male,Dier Al-Balah,40.0
2003,Male,Dier Al-Balah,31.1
2004,Male,Dier Al-Balah,36.6
2005,Male,Dier Al-Balah,33.6
2006,Male,Dier Al-Balah,35.9
2007,Male,Dier Al-Balah,33.6
2008,Male,Dier Al-Balah,39.7
2009,Male,Dier Al-Balah,32.0
2010,Male,Dier Al-Balah,38.3
2011,Male,Dier Al-Balah,22.3
2012,Male,Dier Al-Balah,24.1
2013,Male,Dier Al-Balah,23.8
2014,Male,Dier Al-Balah,44.0
2015,Male,Dier Al-Balah,44.2
