Year,Series,Value
2000,C100b01_01 by TIME PERIOD,554.41
2001,C100b01_01 by TIME PERIOD,940.13
2002,C100b01_01 by TIME PERIOD,935.03
2003,C100b01_01 by TIME PERIOD,1028.75
2004,C100b01_01 by TIME PERIOD,1154.85
2005,C100b01_01 by TIME PERIOD,1035.72
2006,C100b01_01 by TIME PERIOD,1354.25
2007,C100b01_01 by TIME PERIOD,1707.69
2008,C100b01_01 by TIME PERIOD,2471.06
2009,C100b01_01 by TIME PERIOD,2855.73
2010,C100b01_01 by TIME PERIOD,2531.37
2011,C100b01_01 by TIME PERIOD,2427.14
2012,C100b01_01 by TIME PERIOD,2019.86
2013,C100b01_01 by TIME PERIOD,2597.09
2014,C100b01_01 by TIME PERIOD,2518.59
2015,C100b01_01 by TIME PERIOD,1887.07
2016,C100b01_01 by TIME PERIOD,2416.1
2017,C100b01_01 by TIME PERIOD,2154.27
2018,C100b01_01 by TIME PERIOD,2240.94
