Year,SEX,AREA,Value
2014,Male,West Bank,
2019,Male,West Bank,
2014,Male,Gaza Strip,
2019,Male,Gaza Strip,
2014,Male,Palestine,92.8
2019,Male,Palestine,92.3
2014,Female,West Bank,
2019,Female,West Bank,
2014,Female,Gaza Strip,
2019,Female,Gaza Strip,
2014,Female,Palestine,91.6
2019,Female,Palestine,87.9
2014,Both sexes or no breakdown by sex,West Bank,90.4
2019,Both sexes or no breakdown by sex,West Bank,88.3
2014,Both sexes or no breakdown by sex,Gaza Strip,94.5
2019,Both sexes or no breakdown by sex,Gaza Strip,92.3
2014,Both sexes or no breakdown by sex,Palestine,92.2
2019,Both sexes or no breakdown by sex,Palestine,90.1
