Year,SEX,AREA,Value
2000,Male,Palestine,290.5
2001,Male,Palestine,
2002,Male,Palestine,
2003,Male,Palestine,
2004,Male,Palestine,
2005,Male,Palestine,
2006,Male,Palestine,
2007,Male,Palestine,
2008,Male,Palestine,
2009,Male,Palestine,
2010,Male,Palestine,
2011,Male,Palestine,
2012,Male,Palestine,
2013,Male,Palestine,
2014,Male,Palestine,
2015,Male,Palestine,
2016,Male,Palestine,
2017,Male,Palestine,
2018,Male,Palestine,
2000,Male,Jenin,385.7
2001,Male,Jenin,
2002,Male,Jenin,
2003,Male,Jenin,
2004,Male,Jenin,
2005,Male,Jenin,
2006,Male,Jenin,
2007,Male,Jenin,
2008,Male,Jenin,
2009,Male,Jenin,
2010,Male,Jenin,
2011,Male,Jenin,
2012,Male,Jenin,
2013,Male,Jenin,
2014,Male,Jenin,
2015,Male,Jenin,
2016,Male,Jenin,
2017,Male,Jenin,
2018,Male,Jenin,
2000,Male,Tubas & Northern Valleys,390.4
2001,Male,Tubas & Northern Valleys,
2002,Male,Tubas & Northern Valleys,
2003,Male,Tubas & Northern Valleys,
2004,Male,Tubas & Northern Valleys,
2005,Male,Tubas & Northern Valleys,
2006,Male,Tubas & Northern Valleys,
2007,Male,Tubas & Northern Valleys,
2008,Male,Tubas & Northern Valleys,
2009,Male,Tubas & Northern Valleys,
2010,Male,Tubas & Northern Valleys,
2011,Male,Tubas & Northern Valleys,
2012,Male,Tubas & Northern Valleys,
2013,Male,Tubas & Northern Valleys,
2014,Male,Tubas & Northern Valleys,
2015,Male,Tubas & Northern Valleys,
2016,Male,Tubas & Northern Valleys,
2017,Male,Tubas & Northern Valleys,
2018,Male,Tubas & Northern Valleys,
2000,Male,Tulkarm,640.0
2001,Male,Tulkarm,
2002,Male,Tulkarm,
2003,Male,Tulkarm,
2004,Male,Tulkarm,
2005,Male,Tulkarm,
2006,Male,Tulkarm,
2007,Male,Tulkarm,
2008,Male,Tulkarm,
2009,Male,Tulkarm,
2010,Male,Tulkarm,
2011,Male,Tulkarm,
2012,Male,Tulkarm,
2013,Male,Tulkarm,
2014,Male,Tulkarm,
2015,Male,Tulkarm,
2016,Male,Tulkarm,
2017,Male,Tulkarm,
2018,Male,Tulkarm,
2000,Male,Nablus,657.9
2001,Male,Nablus,
2002,Male,Nablus,
2003,Male,Nablus,
2004,Male,Nablus,
2005,Male,Nablus,
2006,Male,Nablus,
2007,Male,Nablus,
2008,Male,Nablus,
2009,Male,Nablus,
2010,Male,Nablus,
2011,Male,Nablus,
2012,Male,Nablus,
2013,Male,Nablus,
2014,Male,Nablus,
2015,Male,Nablus,
2016,Male,Nablus,
2017,Male,Nablus,
2018,Male,Nablus,
2000,Male,Qalqiliya,624.4
2001,Male,Qalqiliya,
2002,Male,Qalqiliya,
2003,Male,Qalqiliya,
2004,Male,Qalqiliya,
2005,Male,Qalqiliya,
2006,Male,Qalqiliya,
2007,Male,Qalqiliya,
2008,Male,Qalqiliya,
2009,Male,Qalqiliya,
2010,Male,Qalqiliya,
2011,Male,Qalqiliya,
2012,Male,Qalqiliya,
2013,Male,Qalqiliya,
2014,Male,Qalqiliya,
2015,Male,Qalqiliya,
2016,Male,Qalqiliya,
2017,Male,Qalqiliya,
2018,Male,Qalqiliya,
2000,Male,Salfit,
2001,Male,Salfit,
2002,Male,Salfit,
2003,Male,Salfit,
2004,Male,Salfit,
2005,Male,Salfit,
2006,Male,Salfit,
2007,Male,Salfit,
2008,Male,Salfit,
2009,Male,Salfit,
2010,Male,Salfit,
2011,Male,Salfit,
2012,Male,Salfit,
2013,Male,Salfit,
2014,Male,Salfit,
2015,Male,Salfit,
2016,Male,Salfit,
2017,Male,Salfit,
2018,Male,Salfit,
2000,Female,Palestine,215.1
2001,Female,Palestine,
2002,Female,Palestine,
2003,Female,Palestine,
2004,Female,Palestine,
2005,Female,Palestine,
2006,Female,Palestine,
2007,Female,Palestine,
2008,Female,Palestine,
2009,Female,Palestine,
2010,Female,Palestine,
2011,Female,Palestine,
2012,Female,Palestine,
2013,Female,Palestine,
2014,Female,Palestine,
2015,Female,Palestine,215.1
2016,Female,Palestine,
2017,Female,Palestine,
2018,Female,Palestine,
2000,Female,Jenin,659.2
2001,Female,Jenin,
2002,Female,Jenin,
2003,Female,Jenin,
2004,Female,Jenin,
2005,Female,Jenin,
2006,Female,Jenin,
2007,Female,Jenin,
2008,Female,Jenin,
2009,Female,Jenin,
2010,Female,Jenin,
2011,Female,Jenin,
2012,Female,Jenin,
2013,Female,Jenin,
2014,Female,Jenin,
2015,Female,Jenin,
2016,Female,Jenin,
2017,Female,Jenin,
2018,Female,Jenin,
2000,Female,Tubas & Northern Valleys,394.4
2001,Female,Tubas & Northern Valleys,
2002,Female,Tubas & Northern Valleys,
2003,Female,Tubas & Northern Valleys,
2004,Female,Tubas & Northern Valleys,
2005,Female,Tubas & Northern Valleys,
2006,Female,Tubas & Northern Valleys,
2007,Female,Tubas & Northern Valleys,
2008,Female,Tubas & Northern Valleys,
2009,Female,Tubas & Northern Valleys,
2010,Female,Tubas & Northern Valleys,
2011,Female,Tubas & Northern Valleys,
2012,Female,Tubas & Northern Valleys,
2013,Female,Tubas & Northern Valleys,
2014,Female,Tubas & Northern Valleys,
2015,Female,Tubas & Northern Valleys,
2016,Female,Tubas & Northern Valleys,
2017,Female,Tubas & Northern Valleys,
2018,Female,Tubas & Northern Valleys,
2000,Female,Tulkarm,828.2
2001,Female,Tulkarm,
2002,Female,Tulkarm,
2003,Female,Tulkarm,
2004,Female,Tulkarm,
2005,Female,Tulkarm,
2006,Female,Tulkarm,
2007,Female,Tulkarm,
2008,Female,Tulkarm,
2009,Female,Tulkarm,
2010,Female,Tulkarm,
2011,Female,Tulkarm,
2012,Female,Tulkarm,
2013,Female,Tulkarm,
2014,Female,Tulkarm,
2015,Female,Tulkarm,
2016,Female,Tulkarm,
2017,Female,Tulkarm,
2018,Female,Tulkarm,
2000,Female,Nablus,487.8
2001,Female,Nablus,
2002,Female,Nablus,
2003,Female,Nablus,
2004,Female,Nablus,
2005,Female,Nablus,
2006,Female,Nablus,
2007,Female,Nablus,
2008,Female,Nablus,
2009,Female,Nablus,
2010,Female,Nablus,
2011,Female,Nablus,
2012,Female,Nablus,
2013,Female,Nablus,
2014,Female,Nablus,
2015,Female,Nablus,
2016,Female,Nablus,
2017,Female,Nablus,
2018,Female,Nablus,
2000,Female,Qalqiliya,575.4
2001,Female,Qalqiliya,
2002,Female,Qalqiliya,
2003,Female,Qalqiliya,
2004,Female,Qalqiliya,
2005,Female,Qalqiliya,
2006,Female,Qalqiliya,
2007,Female,Qalqiliya,
2008,Female,Qalqiliya,
2009,Female,Qalqiliya,
2010,Female,Qalqiliya,
2011,Female,Qalqiliya,
2012,Female,Qalqiliya,
2013,Female,Qalqiliya,
2014,Female,Qalqiliya,
2015,Female,Qalqiliya,
2016,Female,Qalqiliya,
2017,Female,Qalqiliya,
2018,Female,Qalqiliya,
2000,Female,Salfit,
2001,Female,Salfit,
2002,Female,Salfit,
2003,Female,Salfit,
2004,Female,Salfit,
2005,Female,Salfit,
2006,Female,Salfit,
2007,Female,Salfit,
2008,Female,Salfit,
2009,Female,Salfit,
2010,Female,Salfit,
2011,Female,Salfit,
2012,Female,Salfit,
2013,Female,Salfit,
2014,Female,Salfit,
2015,Female,Salfit,
2016,Female,Salfit,
2017,Female,Salfit,
2018,Female,Salfit,
2000,'',Palestine,62.0
2001,'',Palestine,19.2
2002,'',Palestine,9.4
2003,'',Palestine,18.0
2004,'',Palestine,48.9
2005,'',Palestine,46.5
2006,'',Palestine,18.6
2007,'',Palestine,28.3
2008,'',Palestine,51.5
2009,'',Palestine,300.5
2010,'',Palestine,206.3
2011,'',Palestine,349.3
2012,'',Palestine,58.4
2013,'',Palestine,175.7
2014,'',Palestine,159.7
2015,'',Palestine,434.8
2016,'',Palestine,296.7
2017,'',Palestine,203.2
2018,'',Palestine,449.2
2000,'',Jenin,288.7
2001,'',Jenin,
2002,'',Jenin,
2003,'',Jenin,
2004,'',Jenin,
2005,'',Jenin,
2006,'',Jenin,
2007,'',Jenin,
2008,'',Jenin,
2009,'',Jenin,
2010,'',Jenin,
2011,'',Jenin,
2012,'',Jenin,
2013,'',Jenin,
2014,'',Jenin,
2015,'',Jenin,
2016,'',Jenin,
2017,'',Jenin,
2018,'',Jenin,
2000,'',Tubas & Northern Valleys,271.8
2001,'',Tubas & Northern Valleys,
2002,'',Tubas & Northern Valleys,
2003,'',Tubas & Northern Valleys,
2004,'',Tubas & Northern Valleys,
2005,'',Tubas & Northern Valleys,
2006,'',Tubas & Northern Valleys,
2007,'',Tubas & Northern Valleys,
2008,'',Tubas & Northern Valleys,
2009,'',Tubas & Northern Valleys,
2010,'',Tubas & Northern Valleys,
2011,'',Tubas & Northern Valleys,
2012,'',Tubas & Northern Valleys,
2013,'',Tubas & Northern Valleys,
2014,'',Tubas & Northern Valleys,
2015,'',Tubas & Northern Valleys,
2016,'',Tubas & Northern Valleys,
2017,'',Tubas & Northern Valleys,
2018,'',Tubas & Northern Valleys,
2000,'',Tulkarm,713.0
2001,'',Tulkarm,
2002,'',Tulkarm,
2003,'',Tulkarm,
2004,'',Tulkarm,
2005,'',Tulkarm,
2006,'',Tulkarm,
2007,'',Tulkarm,
2008,'',Tulkarm,
2009,'',Tulkarm,
2010,'',Tulkarm,
2011,'',Tulkarm,
2012,'',Tulkarm,
2013,'',Tulkarm,
2014,'',Tulkarm,
2015,'',Tulkarm,
2016,'',Tulkarm,
2017,'',Tulkarm,
2018,'',Tulkarm,
2000,'',Nablus,588.2
2001,'',Nablus,
2002,'',Nablus,
2003,'',Nablus,
2004,'',Nablus,
2005,'',Nablus,
2006,'',Nablus,
2007,'',Nablus,
2008,'',Nablus,
2009,'',Nablus,
2010,'',Nablus,
2011,'',Nablus,
2012,'',Nablus,
2013,'',Nablus,
2014,'',Nablus,
2015,'',Nablus,
2016,'',Nablus,
2017,'',Nablus,
2018,'',Nablus,
2000,'',Qalqiliya,434.8
2001,'',Qalqiliya,
2002,'',Qalqiliya,
2003,'',Qalqiliya,
2004,'',Qalqiliya,
2005,'',Qalqiliya,
2006,'',Qalqiliya,
2007,'',Qalqiliya,
2008,'',Qalqiliya,
2009,'',Qalqiliya,
2010,'',Qalqiliya,
2011,'',Qalqiliya,
2012,'',Qalqiliya,
2013,'',Qalqiliya,
2014,'',Qalqiliya,
2015,'',Qalqiliya,
2016,'',Qalqiliya,
2017,'',Qalqiliya,
2018,'',Qalqiliya,
2000,'',Salfit,449.2
