Year,Value
2001,18.3
2002,24.0
2003,24.9
2004,25.6
2005,25.4
2006,20.7
2007,22.9
2008,22.0
2009,19.0
2010,19.4
2011,20.1
2012,16.2
2013,15.4
2014,13.8
2015,13.8
2016,13.6
2017,10.3
2018,10.7
2019,11.7
