Year,SEX,AREA,Value
2005,Female,West Bank,34.7
2011,Female,West Bank,25.6
2019,Female,West Bank,22.9
2005,Female,Gaza Strip,27.3
2011,Female,Gaza Strip,42.8
2019,Female,Gaza Strip,33.3
2005,Female,Palestine,31.9
2011,Female,Palestine,31.6
2019,Female,Palestine,27.0
2005,Both sexes or no breakdown by sex,West Bank,34.7
2011,Both sexes or no breakdown by sex,West Bank,29.9
2019,Both sexes or no breakdown by sex,West Bank,
2005,Both sexes or no breakdown by sex,Gaza Strip,27.3
2011,Both sexes or no breakdown by sex,Gaza Strip,51.0
2019,Both sexes or no breakdown by sex,Gaza Strip,
2005,Both sexes or no breakdown by sex,Palestine,31.9
2011,Both sexes or no breakdown by sex,Palestine,37.0
2019,Both sexes or no breakdown by sex,Palestine,
