Year,Value
2000,554.41
2001,940.13
2002,935.03
2003,1028.75
2004,1154.85
2005,1035.72
2006,1354.25
2007,1707.69
2008,2471.06
2009,2855.73
2010,2531.37
2011,2427.14
2012,2019.86
2013,2597.09
2014,2518.59
2015,1887.07
2016,2416.1
2017,2154.27
2018,2240.94
