Year,Series,Value
2001,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,18.3
2002,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,24.0
2003,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,24.9
2004,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,25.6
2005,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,25.4
2006,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,20.7
2007,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,22.9
2008,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,22.0
2009,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,19.0
2010,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,19.4
2011,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,20.1
2012,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,16.2
2013,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,15.4
2014,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,13.8
2015,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,13.8
2016,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,13.6
2017,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,10.3
2018,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,10.7
2019,Renewable energy share in the total final energy consumption (%) by TIME PERIOD,11.7
