Year,AREA,AGE,Value
2019,West Bank,,4.3
2019,West Bank,15 to 19 years old,
2019,West Bank,20 to 29 years old,
2019,West Bank,30 to 39 years old,
2019,West Bank,40 to 49 years old,
2019,West Bank,50 to 59 years old,
2019,West Bank,60 to 64 years old,
2019,Gaza Strip,,2.8
2019,Gaza Strip,15 to 19 years old,
2019,Gaza Strip,20 to 29 years old,
2019,Gaza Strip,30 to 39 years old,
2019,Gaza Strip,40 to 49 years old,
2019,Gaza Strip,50 to 59 years old,
2019,Gaza Strip,60 to 64 years old,
2019,Palestine,,3.7
2019,Palestine,15 to 19 years old,2.8
2019,Palestine,20 to 29 years old,4.0
2019,Palestine,30 to 39 years old,3.4
2019,Palestine,40 to 49 years old,4.1
2019,Palestine,50 to 59 years old,4.2
2019,Palestine,60 to 64 years old,1.6
