Year,URBANISATION,AREA,Series,Value
2000,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2002,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2003,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.4
2004,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.6
2005,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2006,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.2
2007,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2008,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2009,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.0
2010,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",88.0
2011,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2012,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.4
2013,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.3
2014,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2015,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",98.8
2017,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.6
2019,,West Bank,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",97.8
2000,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2002,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.3
2003,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.5
2004,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
2005,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.6
2006,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.7
2007,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.9
2008,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2009,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",99.8
2010,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",95.5
2011,,Gaza Strip,"Proportion of population using safely managed sanitation services by URBANISATION, AREA and TIME PERIOD",100.0
