Year,Value
2000,132.01
2001,345.57
2002,78.42
2003,82.94
2004,57.92
2005,50.64
2006,68.57
2007,49.82
2008,54.8
2009,51.49
2010,128.95
2011,108.41
2012,102.24
2013,79.2
2014,111.86
2015,121.35
2016,109.69
2017,106.12
2018,141.64
2019,114.3
