Year,URBANISATION,AREA,Series,Value
2019,,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.0
2014,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.8
2017,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.3
2019,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Bethlehem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",97.8
2014,,Bethlehem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.5
2017,,Bethlehem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.0
2019,,Bethlehem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Hebron,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",82.7
2014,,Hebron,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",95.7
2017,,Hebron,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",87.8
2019,,Hebron,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,North Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",19.7
2014,,North Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",16.8
2017,,North Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",14.4
2019,,North Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",8.3
2014,,Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",3.9
2017,,Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",10.8
2019,,Gaza,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Dier Al-Balah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",4.4
2014,,Dier Al-Balah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",3.2
2017,,Dier Al-Balah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",6.3
2019,,Dier Al-Balah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Khan Yunis,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",20.5
2014,,Khan Yunis,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",20.8
2017,,Khan Yunis,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",14.2
2019,,Khan Yunis,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Rafah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",18.8
2014,,Rafah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",12.6
2017,,Rafah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",8.9
2019,,Rafah,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",59.6
2014,Urban,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",58.1
2017,Urban,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",54.1
2019,Urban,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",35.5
2010,Urban,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2019,Urban,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2014,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2017,Urban,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
