Year,Series,Value
2019,Financial Soundness Indicators ( Liquid assets to short term liabilities) by TIME PERIOD,47.5
2019,Non-performing loans net of provisions to capital (%) by TIME PERIOD,3.8
2019,Non-performing loans to total gross loans by TIME PERIOD,4.2
2019,Regulatory Tier 1 capital to risk-weighted assets (%) by TIME PERIOD,13.9
2019,Regulatory capital to assets by TIME PERIOD,7.9
2019,Return on assets (%) by TIME PERIOD,0.9
