Year,Series,Value
2015,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) by TIME PERIOD,19.37
2016,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) by TIME PERIOD,19.51
2017,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) by TIME PERIOD,19.91
2018,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) by TIME PERIOD,19.96
2019,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) by TIME PERIOD,19.96
2020,Average proportion of Mountain Key Biodiversity Areas (KBAs) covered by protected areas (%) by TIME PERIOD,19.96
