Year,AREA,Value
2000,West Bank,13.7
2001,West Bank,13.6
2002,West Bank,11.46
2003,West Bank,15.36
2004,West Bank,11.68
2005,West Bank,13.59
2006,West Bank,10.15
2007,West Bank,13.11
2008,West Bank,13.43
2009,West Bank,13.22
2010,West Bank,13.75
2011,West Bank,12.37
2012,West Bank,14.11
2013,West Bank,12.97
2014,West Bank,11.62
2015,West Bank,9.2
2016,West Bank,10.26
2017,West Bank,12.19
2018,West Bank,12.74
2019,West Bank,12.64
2000,Gaza Strip,3.04
2001,Gaza Strip,5.5
2002,Gaza Strip,4.2
2003,Gaza Strip,7.53
2004,Gaza Strip,6.44
2005,Gaza Strip,7.32
2006,Gaza Strip,4.83
2007,Gaza Strip,1.34
2008,Gaza Strip,1.85
2009,Gaza Strip,2.06
2010,Gaza Strip,7.1
2011,Gaza Strip,8.12
2012,Gaza Strip,9.4
2013,Gaza Strip,7.98
2014,Gaza Strip,7.36
2015,Gaza Strip,9.8
2016,Gaza Strip,9.15
2017,Gaza Strip,9.44
2018,Gaza Strip,6.23
2019,Gaza Strip,4.63
2000,Palestine,10.44
2001,Palestine,10.97
2002,Palestine,9.04
2003,Palestine,12.58
2004,Palestine,9.9
2005,Palestine,11.31
2006,Palestine,8.51
2007,Palestine,9.98
2008,Palestine,10.92
2009,Palestine,10.78
2010,Palestine,12.23
2011,Palestine,11.47
2012,Palestine,13.11
2013,Palestine,11.9
2014,Palestine,10.75
2015,Palestine,9.32
2016,Palestine,10.03
2017,Palestine,11.66
2018,Palestine,11.55
2019,Palestine,11.23
