Year,Series,Value
2015,Red List Index (%) by TIME PERIOD,0.78
2016,Red List Index (%) by TIME PERIOD,0.9
2017,Red List Index (%) by TIME PERIOD,0.9
2018,Red List Index (%) by TIME PERIOD,0.9
2019,Red List Index (%) by TIME PERIOD,0.9
2020,Red List Index (%) by TIME PERIOD,0.9
2021,Red List Index (%) by TIME PERIOD,0.9
