Year,Series,Value
2000,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,132366
2001,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,20034
2003,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,10732
2005,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,6038
2006,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,6038
2009,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,1088550
2010,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,454425
2012,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,240825
2013,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,3455250
2015,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,5504042
2016,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,5363469
2017,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,575044
2018,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD,28678583
