Year,SEX,AREA,Value
2000,Male,West Bank,
2004,Male,West Bank,
2006,Male,West Bank,
2009,Male,West Bank,
2011,Male,West Bank,
2014,Male,West Bank,
2018,Male,West Bank,
2000,Male,Gaza Strip,
2004,Male,Gaza Strip,
2006,Male,Gaza Strip,
2009,Male,Gaza Strip,
2011,Male,Gaza Strip,
2014,Male,Gaza Strip,
2018,Male,Gaza Strip,
2000,Male,Palestine,7.9
2004,Male,Palestine,16.2
2006,Male,Palestine,23.6
2009,Male,Palestine,38.2
2011,Male,Palestine,44.6
2014,Male,Palestine,59.6
2018,Male,Palestine,68.4
2000,Female,West Bank,
2004,Female,West Bank,
2006,Female,West Bank,
2009,Female,West Bank,
2011,Female,West Bank,
2014,Female,West Bank,
2018,Female,West Bank,
2000,Female,Gaza Strip,
2004,Female,Gaza Strip,
2006,Female,Gaza Strip,
2009,Female,Gaza Strip,
2011,Female,Gaza Strip,
2014,Female,Gaza Strip,
2018,Female,Gaza Strip,
2000,Female,Palestine,2.8
2004,Female,Palestine,7.5
2006,Female,Palestine,13.1
2009,Female,Palestine,26.2
2011,Female,Palestine,34.4
2014,Female,Palestine,47.5
2018,Female,Palestine,60.3
2000,,West Bank,5.7
2004,,West Bank,12.3
2006,,West Bank,18.9
2009,,West Bank,32.7
2011,,West Bank,40.0
2014,,West Bank,54.5
2018,,West Bank,69.1
2000,,Gaza Strip,4.7
2004,,Gaza Strip,11.1
2006,,Gaza Strip,17.6
2009,,Gaza Strip,31.5
2011,,Gaza Strip,38.8
2014,,Gaza Strip,52.2
2018,,Gaza Strip,56.6
2000,,Palestine,5.4
2004,,Palestine,11.9
2006,,Palestine,18.4
2009,,Palestine,32.3
2011,,Palestine,39.6
2014,,Palestine,53.7
2018,,Palestine,64.5
