Indicator,Disaggregation combinations using this value
#15-1-2,2
#16-6-2,9
#16-7-2,24
#2-2-2,3
#3-2-1,3
#3-4-1,1
#3-4-2,1
#3-b-1,24
#4-1-1,9
#4-2-1,9
#5-5-1,3
