Value,Disaggregation combinations using this value,Number of indicators
10 to 14 years old,9,1
10 to 17 years old,9,1
15 to 17 years old,9,1
15 to 19 years old,3,1
15 to 24 years old,3,1
20 to 29 years old,3,1
25 to 34 years old,3,1
30 to 39 years old,3,1
35 to 44 years old,3,1
40 to 49 years old,3,1
50 to 59 years old,3,1
60 to 64 years old,3,1
65 years old and over,3,1
under 15 years old,3,1
