Value,Disaggregation combinations using this value,Number of indicators
Craft and related trades workers,9,1
Elementary occupations,9,1
"Legislators, senior officials and managers",9,1
"Plant and machine operators, and assemblers",9,1
Service and sales workers,9,1
"Skilled agricultural, forestry and fishery workers",9,1
Technicians and associate professionals,9,1
Total or no breakdown by Occupation,9,1
