Value,Disaggregation combinations using this value,Number of indicators
Bethlehem,18,6
Dier Al-Balah,18,6
Gaza Strip,193,55
Gaza,18,6
Hebron,18,6
Jenin,30,10
Jericho & AL Aghwar,18,6
Jerusalem,15,5
Khan Yunis,18,6
Nablus,24,8
North Gaza,18,6
Palestine,207,60
Qalqiliya,21,7
Rafah,18,6
Ramallah & Al-Bireh,18,6
Salfit,21,7
Tubas & Northern Valleys,27,9
Tulkarm,27,9
West Bank,195,56
