Year,AREA,Series,Value
2010,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2011,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2012,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2013,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2014,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2015,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2016,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2017,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2018,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2019,West Bank,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",28.2
2010,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2011,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2012,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2013,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2014,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2015,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2016,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2017,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2018,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",
2019,Gaza Strip,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",105.0
2010,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",20.3
2011,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",25.5
2012,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",25.7
2013,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",26.0
2014,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",27.6
2015,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",28.0
2016,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",26.7
2017,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",27.9
2018,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",25.7
2019,Palestine,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar) by AREA and TIME PERIOD",25.5
