Year,Value
2000,20.2
2001,20.4
2002,22.0
2003,8.2
2004,9.4
2005,8.5
2006,9.5
2007,11.0
2008,11.2
2009,10.5
2010,10.6
2011,11.0
2012,15.5
2013,12.2
2014,14.4
2015,14.6
2016,15.7
2017,14.9
2018,19.6
2019,15.8
