Year,URBANISATION,SEX,AREA,Value
2018,'',Male,West Bank,
2021,'',Male,West Bank,
2018,'',Male,Gaza Strip,
2021,'',Male,Gaza Strip,
2018,'',Male,Palestine,45.7
2021,'',Male,Palestine,36.4
2018,'',Female,West Bank,
2021,'',Female,West Bank,
2018,'',Female,Gaza Strip,
2021,'',Female,Gaza Strip,
2018,'',Female,Palestine,41.5
2021,'',Female,Palestine,30.5
2018,'','',West Bank,47.6
2021,'','',West Bank,34.6
2018,'','',Gaza Strip,38.1
2021,'','',Gaza Strip,32.0
2018,'','',Palestine,43.7
2021,'','',Palestine,33.5
2018,Urban,Male,West Bank,
2021,Urban,Male,West Bank,
2018,Urban,Male,Gaza Strip,
2021,Urban,Male,Gaza Strip,
2018,Urban,Male,Palestine,
2021,Urban,Male,Palestine,
2018,Urban,Female,West Bank,
2021,Urban,Female,West Bank,
2018,Urban,Female,Gaza Strip,
2021,Urban,Female,Gaza Strip,
2018,Urban,Female,Palestine,
2021,Urban,Female,Palestine,
2018,Urban,'',West Bank,
2021,Urban,'',West Bank,
2018,Urban,'',Gaza Strip,
2021,Urban,'',Gaza Strip,
2018,Urban,'',Palestine,42.2
2021,Urban,'',Palestine,32.9
2018,Rural,Male,West Bank,
2021,Rural,Male,West Bank,
2018,Rural,Male,Gaza Strip,
2021,Rural,Male,Gaza Strip,
2018,Rural,Male,Palestine,
2021,Rural,Male,Palestine,
2018,Rural,Female,West Bank,
2021,Rural,Female,West Bank,
2018,Rural,Female,Gaza Strip,
2021,Rural,Female,Gaza Strip,
2018,Rural,Female,Palestine,
2021,Rural,Female,Palestine,
2018,Rural,'',West Bank,
2021,Rural,'',West Bank,
2018,Rural,'',Gaza Strip,
2021,Rural,'',Gaza Strip,
2018,Rural,'',Palestine,50.7
2021,Rural,'',Palestine,36.0
2018,Camp,Male,West Bank,
2021,Camp,Male,West Bank,
2018,Camp,Male,Gaza Strip,
2021,Camp,Male,Gaza Strip,
2018,Camp,Male,Palestine,
2021,Camp,Male,Palestine,
2018,Camp,Female,West Bank,
2021,Camp,Female,West Bank,
2018,Camp,Female,Gaza Strip,
2021,Camp,Female,Gaza Strip,
2018,Camp,Female,Palestine,
2021,Camp,Female,Palestine,
2018,Camp,'',West Bank,
2021,Camp,'',West Bank,
2018,Camp,'',Gaza Strip,
2021,Camp,'',Gaza Strip,
2018,Camp,'',Palestine,46.2
2021,Camp,'',Palestine,35.1
