Year,Value,Series
2000,554.41,C100b01_01 by TIME PERIOD
2001,940.13,C100b01_01 by TIME PERIOD
2002,935.03,C100b01_01 by TIME PERIOD
2003,1028.75,C100b01_01 by TIME PERIOD
2004,1154.85,C100b01_01 by TIME PERIOD
2005,1035.72,C100b01_01 by TIME PERIOD
2006,1354.25,C100b01_01 by TIME PERIOD
2007,1707.69,C100b01_01 by TIME PERIOD
2008,2471.06,C100b01_01 by TIME PERIOD
2009,2855.73,C100b01_01 by TIME PERIOD
2010,2531.37,C100b01_01 by TIME PERIOD
2011,2427.14,C100b01_01 by TIME PERIOD
2012,2019.86,C100b01_01 by TIME PERIOD
2013,2597.09,C100b01_01 by TIME PERIOD
2014,2518.59,C100b01_01 by TIME PERIOD
2015,1887.07,C100b01_01 by TIME PERIOD
2016,2416.1,C100b01_01 by TIME PERIOD
2017,2154.27,C100b01_01 by TIME PERIOD
2018,2240.94,C100b01_01 by TIME PERIOD
