Year,Value,Series
2016,7.29,Remittance costs as a proportion of the amount remitted (%) by TIME PERIOD
2017,7.3,Remittance costs as a proportion of the amount remitted (%) by TIME PERIOD
2018,6.3,Remittance costs as a proportion of the amount remitted (%) by TIME PERIOD
2019,6.09,Remittance costs as a proportion of the amount remitted (%) by TIME PERIOD
