Year,Value,Series
2009,25.6,Growth rates of household expenditure or income per capita (%) by TIME PERIOD
2010,-4.7,Growth rates of household expenditure or income per capita (%) by TIME PERIOD
2011,-4.7,Growth rates of household expenditure or income per capita (%) by TIME PERIOD
2017,-8.59,Growth rates of household expenditure or income per capita (%) by TIME PERIOD
