Year,Value,Series
2016,39.3,"Proportion of urban population living in slums, informal settlements or inadequate housing (%) by TIME PERIOD"
2017,45.1,"Proportion of urban population living in slums, informal settlements or inadequate housing (%) by TIME PERIOD"
2018,42.3,"Proportion of urban population living in slums, informal settlements or inadequate housing (%) by TIME PERIOD"
