Year,Value,Series
2000,132366,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2001,20034,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2003,10732,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2005,6038,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2006,6038,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2009,1088550,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2010,454425,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2012,240825,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2013,3455250,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2015,5504042,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2016,5363469,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2017,575044,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
2018,28678583,Direct economic loss attributed to disasters relative to GDP (%) by TIME PERIOD
