Year,Series,Value
2016,"Proportion of urban population living in slums, informal settlements or inadequate housing (%) by TIME PERIOD",39.3
2017,"Proportion of urban population living in slums, informal settlements or inadequate housing (%) by TIME PERIOD",45.1
2018,"Proportion of urban population living in slums, informal settlements or inadequate housing (%) by TIME PERIOD",42.3
