Year,AREA,Value
2004,West Bank,35.2
2008,West Bank,47.0
2012,West Bank,49.2
2016,West Bank,38.3
2020,West Bank,47.0
2004,Gaza Strip,17.4
2008,Gaza Strip,57.5
2012,Gaza Strip,32.8
2016,Gaza Strip,45.9
2020,Gaza Strip,56.2
2004,Palestine,29.5
2008,Palestine,53.0
2012,Palestine,43.4
2016,Palestine,43.0
2020,Palestine,52.4
