Year,AREA,Value
2015,West Bank,0.52
2016,West Bank,0.33
2017,West Bank,0.39
2018,West Bank,0.42
2019,West Bank,0.41
2020,West Bank,0.23
2015,Gaza Strip,0.77
2016,Gaza Strip,2.07
2017,Gaza Strip,2.08
2018,Gaza Strip,0.98
2019,Gaza Strip,0.3
2020,Gaza Strip,0.49
2015,Palestine,0.61
2016,Palestine,1.05
2017,Palestine,1.1
2018,Palestine,0.65
2019,Palestine,0.37
2020,Palestine,0.33
